Country,Average DNI (KWh/m^2/day)
Afghanistan,4.339285714285714
Albania,5.541666666666667
Algeria,5.819444444444445
Andorra,6.75
Angola,4.339285714285714
Antigua & Barbuda,4.5
Argentina,5.4375
Armenia,4.325
Australia,5.819444444444445
Austria,5.34375
Azerbaijan,3.9375
Bahamas,4.875
Bahrain,6.75
Bangladesh,3.9375
Barbados,4.5
Belarus,4.5
Belgium,3.3125
Belize,3.75
Benin,3.3125
Bhutan,3.9375
Bolivia,5.819444444444445
Bosnia Herzegovina,5.708333333333333
Botswana,7.275
Brazil,4.339285714285714
Brunei,4.875
Bulgaria,4.325
Burundi,3.3125
Chile,5.4375
China,5.4375
Colombia,5.041666666666667
Comoros,4.875
Congo,3.6607142857142856
Costa Rica,4.339285714285714
Croatia,5.025
Cuba,5.34375
Cyprus,5.75
Czech Republic,4.0
Denmark,3.3125
Djibouti,4.59375
Dominica,4.25
Dominican Republic,5.34375
East Timor,6.583333333333333
Ecuador,4.270833333333333
Egypt,6.482142857142857
El Salvador,6.1875
Equatorial Guinea,2.0
Eritrea,4.729166666666667
Estonia,4.0
Ethiopia,4.339285714285714
Fiji,4.875
Finland,4.0
France,4.339285714285714
Gabon,2.0
Gambia,3.75
Georgia,4.325
Germany,4.075
Ghana,3.9375
Greece,5.025
Grenada,4.25
Guatemala,4.729166666666667
Guinea,3.3125
Guinea-Bissau,3.0
Guyana,4.59375
Haiti,5.708333333333333
Honduras,4.729166666666667
Hungary,4.875
Iceland,3.3125
India,5.4375
Indonesia,5.107142857142857
Iran,5.4375
Iraq,5.708333333333333
Ireland,3.3333333333333335
Israel,5.708333333333333
Italy,5.421875
Ivory Coast,3.3125
Jamaica,4.875
Japan,4.0
Jordan,6.583333333333333
Kazakhstan,4.325
Kenya,4.339285714285714
Kiribati,7.375
Kuwait,4.59375
Kyrgyzstan,4.339285714285714
Laos,3.6
Latvia,4.0
Lebanon,6.125
Lesotho,6.1875
Liberia,2.0
Libya,6.140625
Liechtenstein,5.1875
Lithuania,4.0
Luxembourg,4.0
Macedonia,6.1875
Madagascar,4.71875
Malawi,4.325
Malaysia,4.325
Maldives,5.625
Mali,4.325
Malta,5.125
Mauritania,4.325
Mauritius,4.708333333333333
Mexico,5.819444444444445
Micronesia,5.625
Moldova,5.625
Monaco,6.1875
Mongolia,4.339285714285714
Montenegro,5.708333333333333
Morocco,5.4375
Mozambique,4.325
Myanmar,3.9375
Namibia,5.819444444444445
Nauru,6.75
Nepal,5.222222222222222
Netherlands,3.3125
New Zealand,3.9375
Nicaragua,4.339285714285714
Niger,5.025
Nigeria,3.9375
Norway,3.3125
Oman,5.8
Pakistan,5.041666666666667
Palau,5.625
Panama,4.0
Papua New Guinea,4.325
Paraguay,5.1875
Peru,4.71875
Philippines,4.339285714285714
Poland,3.6
Portugal,5.819444444444445
Qatar,6.583333333333333
Romania,4.875
Russia,4.339285714285714
Rwanda,3.0
Samoa,5.625
San Marino,5.625
Sao Tome & Principe,2.0
Saudi Arabia,5.819444444444445
Senegal,3.3125
Serbia,5.1875
Seychelles,4.0
Sierra Leone,2.625
Singapore,3.75
Slovakia,4.25
Slovenia,4.875
Somalia,5.025
South Africa,5.680555555555555
Spain,5.819444444444445
Sri Lanka,3.9375
Sudan,5.041666666666667
Suriname,5.25
Swaziland,5.1875
Sweden,3.3125
Switzerland,5.34375
Syria,5.416666666666667
Tajikistan,4.339285714285714
Tanzania,4.339285714285714
Thailand,4.325
Togo,3.6
Tonga,5.625
Trinidad & Tobago,4.25
Tunisia,5.732142857142857
Turkey,4.71875
Turkmenistan,4.59375
Tuvalu,4.75
Uganda,4.339285714285714
Ukraine,4.325
United Arab Emirates,6.482142857142857
United Kingdom,3.6
United States,5.4375
Uruguay,5.1875
Uzbekistan,4.729166666666667
Vanuatu,6.1875
Vatican City,5.625
Venezuela,5.421875
Vietnam,3.9375
Yemen,5.732142857142857
Zambia,4.59375
Zimbabwe,5.34375
