"Figure 3.4? Utility-scale solar PV total installed cost trends in selected countries, 2010-2019",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Total installed cost (2019 USD/kW),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Solar Photovoltaic,Australia,Weighted average,6 907,6 777,4 908,2 881,3 007,2 236,1 925,1 971,1 520,1 236
,,,Percentage change from first year of data,,,,,,,,,,-82%
,,China,Weighted average,3 947,3 417,2 742,2 117,1 763,1 362,1 233,1 157,0 879,0 794
,,,Percentage change from first year of data,,,,,,,,,,-80%
,,France,Weighted average,5 470,5 592,5 153,3 245,2 369,1 559,1 320,1 240,1 074,0 979
,,,Percentage change from first year of data,,,,,,,,,,-82%
,,Germany,Weighted average,3 705,2 959,2 341,2 007,1 600,1 280,1 162,1 114,1 113,0 899
,,,Percentage change from first year of data,,,,,,,,,,-76%
,,India,Weighted average,5 051,3 112,2 730,2 810,1 907,1 300,1 119,1 116,0 793,0 618
,,,Percentage change from first year of data,,,,,,,,,,-88%
,,Italy,Weighted average,5 286,4 876,2 571,2 035,1 972,,,0 972,0 870,0 830
,,,Percentage change from first year of data,,,,,,,,,,-84%
,,Japan,Weighted average,,5 431,3 918,3 348,3 069,2 221,2 437,2 210,2 101,2 070
,,,Percentage change from first year of data,,,,,,,,,,-62%
,,Netherlands,Weighted average,,,,,,,1 147,1 548,1 168,1 121
,,,Percentage change from first year of data,,,,,,,,,,-2%
,,Republic of Korea,Weighted average,8 881,5 912,2 290,2 663,2 211,2 091,2 064,1 581,1 326,1 252
,,,Percentage change from first year of data,,,,,,,,,,-86%
,,Spain,Weighted average,4 672,3 263,2 688,2 310,2 316,1 195,,,,0 766
,,,Percentage change from first year of data,,,,,,,,,,-84%
,,Turkey,Weighted average,,,,,,,1 566,1 256,1 206,0 921
,,,Percentage change from first year of data,,,,,,,,,,-41%
,,Ukraine,Weighted average,,4 922,,4 012,,,,1 225,1 344,0 874
,,,Percentage change from first year of data,,,,,,,,,,-82%
,,United Kingdom,Weighted average,5 913,4 700,2 781,2 306,1 943,1 529,1 465,1 267,1 362,1 018
,,,Percentage change from first year of data,,,,,,,,,,-83%
,,United States,Weighted average,4 667,4 534,4 425,3 914,2 885,2 571,2 221,1 873,1 549,1 221
,,,Percentage change from first year of data,,,,,,,,,,-74%
,,Viet Nam,Weighted average,,,,,,,2 249,2 869,,1 054
,,,Percentage change from first year of data,,,,,,,,,,-53%
