Country Name,Electricity consumption in 2014,Average recent methane emission
Algeria,1368.621519,1871.8486876839083
Argentina,3074.702071,1804.2209452375716
Australia,10071.39898,1818.3006765274224
Austria,8355.841952,1862.0643485175565
Belgium,7709.123078,1860.0649977949208
Brazil,2610.999282,1844.5379172183327
Bulgaria,4708.927458,1868.9262015433685
Canada,15588.48715,1861.8707061547425
Chile,3895.436156,1809.8107960969612
Denmark,5858.801536,1860.58116752556
France,6939.943525,1862.1405644520285
Greece,5062.606422,1872.6594008097916
Honduras,608.1390944,1872.844161033507
Hungary,3965.958233,1863.919707672562
Israel,6600.89828,1879.4730419446832
Italy,5002.40668,1874.2959598585212
Jordan,1921.107652,1876.4157182289723
Malaysia,4539.499326,1870.546685506332
Mexico,2186.375822,1867.5412174120324
Morocco,902.9565381,1879.6893988948668
Netherlands,6712.774758,1865.6324006410132
Pakistan,419.6845943,1894.022529411177
Philippines,690.7659626,1876.3182301055408
Poland,3971.799761,1855.0474204098225
Portugal,4662.6008,1865.13120276275
Romania,2584.411787,1865.1081372861956
South Africa,4183.82749,1813.262748057478
Spain,5355.987006,1868.2783647723595
Sweden,13480.14822,1836.0656330684008
Switzerland,7520.166025,1863.9443293775128
Thailand,2483.557147,1899.5030709138357
Ukraine,3418.569317,1864.182686199554
United Arab Emirates,11562.98852,1896.8456021570764
United Kingdom,5130.390253,1859.0444999443423
