Country Name,Electricity consumption in 2014
Afghanistan,
Albania,2309.366503
Algeria,1368.621519
Andorra,
Angola,310.0816685
Argentina,3074.702071
Armenia,1976.864492
Australia,10071.39898
Austria,8355.841952
Azerbaijan,2202.393918
Bahrain,19969.73612
Bangladesh,317.24537
Barbados,
Belarus,3690.103683
Belgium,7709.123078
Belize,
Benin,97.1281349
Bhutan,
Bolivia,728.2229062
Botswana,1677.597002
Brazil,2610.999282
Bulgaria,4708.927458
Burkina Faso,
Burundi,
Cambodia,272.5034428
Cameroon,279.9155231
Canada,15588.48715
Central African Republic,
Chad,
Chile,3895.436156
China,3905.317598
Colombia,1320.34513
Comoros,
Costa Rica,1922.883198
Croatia,3714.382988
Cuba,1447.666993
Cyprus,3548.868092
Denmark,5858.801536
Djibouti,
Dominica,
Dominican Republic,1597.142222
Ecuador,1375.862154
El Salvador,949.9919962
Equatorial Guinea,
Eritrea,96.28621076
Estonia,6732.367473
Ethiopia,68.05233164
Fiji,
Finland,15249.98938
France,6939.943525
Gabon,1118.536954
Georgia,2693.97276
Germany,7035.482975
Ghana,339.1927426
Greece,5062.606422
Grenada,
Guatemala,601.1897311
Guinea,
Guinea-Bissau,
Guyana,
Haiti,39.56691514
Honduras,608.1390944
Hungary,3965.958233
Iceland,53832.47909
India,797.349232
Indonesia,808.4189721
Iraq,1243.846759
Ireland,5672.064134
Israel,6600.89828
Italy,5002.40668
Jamaica,1084.917705
Japan,7819.714636
Jordan,1921.107652
Kazakhstan,5600.208465
Kenya,167.4380987
Kiribati,
Kosovo,2818.337231
Kuwait,15297.81071
Latvia,3507.404521
Lebanon,2583.378464
Lesotho,
Liberia,
Libya,1889.545086
Liechtenstein,
Lithuania,3821.14517
Luxembourg,13914.67845
Madagascar,
Malawi,
Malaysia,4539.499326
Maldives,
Mali,
Malta,4924.544019
Marshall Islands,
Mauritania,
Mauritius,2182.509156
Mexico,2186.375822
Moldova,1725.094172
Monaco,
Mongolia,2032.159729
Montenegro,4612.34139
Morocco,902.9565381
Mozambique,483.4726029
Myanmar,220.3928554
Namibia,1674.988107
Nauru,
Nepal,143.5068381
Netherlands,6712.774758
New Zealand,9012.731097
Nicaragua,562.2776901
Niger,50.84654595
Nigeria,142.1292221
Norway,22999.9346
Oman,6474.500202
Pakistan,419.6845943
Palau,
Panama,2070.822489
Papua New Guinea,
Paraguay,1682.066869
Peru,1334.192046
Philippines,690.7659626
Poland,3971.799761
Portugal,4662.6008
Qatar,16415.25154
Romania,2584.411787
Rwanda,
Samoa,
San Marino,
Saudi Arabia,9047.685513
Senegal,232.7078258
Serbia,4271.744667
Seychelles,
Sierra Leone,
Singapore,8844.687593
Slovenia,6727.999302
Solomon Islands,
Somalia,
South Africa,4183.82749
South Sudan,41.02277263
Spain,5355.987006
Sri Lanka,531.0905766
Sudan,263.5174293
Suriname,3493.176895
Sweden,13480.14822
Switzerland,7520.166025
Tajikistan,1486.245831
Tanzania,101.9393027
Thailand,2483.557147
Togo,151.4739278
Tonga,
Tunisia,1408.091103
Turkmenistan,2585.662543
Tuvalu,
Greenland,
Uganda,
Ukraine,3418.569317
United Arab Emirates,11562.98852
United Kingdom,5130.390253
United States,12993.96558
Uruguay,3093.173789
Uzbekistan,1645.441629
Vanuatu,
Vietnam,1431.164341
Zambia,701.940863
Zimbabwe,597.2970217
