Country Name,GDP 2021 in Current US$
Afghanistan,368.754614175459
Albania,6492.87201224634
Algeria,3690.62787797599
Andorra,42137.3272710372
Angola,1953.53375721508
Argentina,10636.1201956183
Armenia,4966.51347122366
Australia,60443.1091649968
Austria,53637.7057109897
Azerbaijan,5387.99797495383
Bahrain,26562.9691354026
Bangladesh,2457.92487986361
Barbados,17225.4623044097
Belarus,7302.25779418774
Belgium,51247.0143531626
Belize,6228.26730928353
Benin,1319.1549945174
Bhutan,3266.36490519183
Bolivia,3345.19658873831
Botswana,6805.22127398897
Brazil,7507.16097080234
Bulgaria,12221.4966064171
Burkina Faso,893.077155776863
Burundi,221.477676223363
Cambodia,1625.23501955454
Cameroon,1666.93273443122
Canada,51987.9390529728
Central African Republic,461.137490166508
Chad,685.690284124456
Chile,16265.0959767147
China,12556.3331200058
Colombia,6104.1367093039
Comoros,1577.47102705052
Costa Rica,12472.4437294954
Croatia,17685.3252834553
Cuba,
Cyprus,31551.81640625
Denmark,68007.7566732954
Djibouti,3150.43672926335
Dominica,7653.17187042868
Dominican Republic,8476.75215730978
Ecuador,5965.13287054416
El Salvador,4551.18466141298
Equatorial Guinea,7506.66752306086
Eritrea,
Estonia,27943.701219882
Ethiopia,925.077428048534
Fiji,4646.6127232145
Finland,53654.7502964259
France,43658.9789781222
Gabon,8635.32569443437
Georgia,5023.27437961979
Germany,51203.5544731043
Ghana,2363.29929621422
Greece,20192.5963039061
Grenada,9010.57224466261
Guatemala,5025.5422907779
Guinea,1189.17599946631
Guinea-Bissau,795.118569260485
Guyana,9998.54431136155
Haiti,1829.59304417211
Honduras,2771.71746050946
Hungary,18728.1218948689
Iceland,68727.636664709
India,2256.59040870506
Indonesia,4332.70928089396
Iraq,4775.3774539013
Ireland,100172.079253421
Israel,52170.7118623335
Italy,35657.4975631691
Jamaica,5183.58130458676
Japan,39312.6603730693
Jordan,4103.25896599583
Kazakhstan,10373.7897924367
Kenya,2081.79985458438
Kiribati,1606.46251377314
Kosovo,5269.78390114389
Kuwait,
Latvia,21148.1629405415
Lebanon,4136.14634699332
Lesotho,1094.09818489303
Liberia,675.66318584916
Libya,6357.19555043805
Liechtenstein,
Lithuania,23723.3402510345
Luxembourg,133590.146975586
Madagascar,500.511031950657
Malawi,634.835660105302
Malaysia,11109.2618387745
Maldives,10366.2933584066
Mali,873.794862375503
Malta,33486.671983855
Marshall Islands,6172.14506539834
Mauritania,2166.04679858214
Mauritius,9106.23720230699
Mexico,10045.6805004963
Moldova,5230.66173289497
Monaco,234315.460503547
Mongolia,4566.14015433014
Montenegro,9465.70399879557
Morocco,3795.38012695313
Mozambique,491.839112773674
Myanmar,1209.92694225482
Namibia,4865.55776470864
Nauru,10648.1413901852
Nepal,1208.21853383767
Netherlands,57767.8788108173
New Zealand,48781.0266328884
Nicaragua,2045.53540189014
Niger,590.629454795899
Nigeria,2065.74906750923
Norway,89154.2760934922
Oman,19509.4664633867
Pakistan,1505.01019279429
Palau,12083.8881491345
Panama,14617.6044816372
Papua New Guinea,2672.94579035518
Paraguay,5891.49996504641
Peru,6621.57433601881
Philippines,3460.53096344408
Poland,17999.9099495446
Portugal,24567.5092651
Qatar,66838.357433014
Romania,14858.2294290445
Rwanda,822.3479885942
Samoa,3857.31846401804
San Marino,
Saudi Arabia,23185.8707917797
Senegal,1636.89320864296
Serbia,9230.17831602601
Seychelles,14653.3093943039
Sierra Leone,480.039211301066
Singapore,72794.0030226738
Slovenia,29291.4006234431
Solomon Islands,2304.84456746354
Somalia,446.981559635259
South Africa,7055.04477598783
South Sudan,
Spain,30103.513733191
Sri Lanka,4013.68765683604
Sudan,751.821350097656
Suriname,4869.13422621242
Sweden,61028.7380600287
Switzerland,91991.6004583563
Tajikistan,897.047510293411
Tanzania,1099.28759765625
Thailand,7066.19054595323
Togo,973.206129076133
Tonga,4426.00063706281
Tunisia,3807.13915027254
Turkmenistan,
Tuvalu,5632.00299343641
Greenland,
Uganda,883.892032311279
Ukraine,4835.57177734375
United Arab Emirates,44315.5541834116
United Kingdom,46510.2827819127
United States,70248.6290002242
Uruguay,17313.1883484186
Uzbekistan,1983.06472288992
Vanuatu,2996.62106154483
Vietnam,3756.48912117326
Zambia,1137.34363269164
Zimbabwe,1773.92041088078
