Date,Open
25/11/2019,7764.057129
02/12/2019,7424.036133
09/12/2019,7561.79541
16/12/2019,7153.663086
23/12/2019,7508.902344
30/12/2019,7420.272949
06/01/2020,7410.452148
13/01/2020,8189.771973
20/01/2020,8704.631836
27/01/2020,8597.308594
03/02/2020,9344.683594
10/02/2020,10115.55957
17/02/2020,9936.560547
24/02/2020,9921.583008
02/03/2020,8563.264648
09/03/2020,8111.146484
16/03/2020,5385.229492
23/03/2020,5831.374512
30/03/2020,5925.538574
06/04/2020,6788.049805
13/04/2020,6965.616699
20/04/2020,7186.873535
27/04/2020,7679.418945
04/05/2020,8895.745117
11/05/2020,8755.535156
18/05/2020,9675.695313
25/05/2020,8786.107422
01/06/2020,9463.605469
08/06/2020,9760.063477
15/06/2020,9386.035156
22/06/2020,9300.915039
29/06/2020,9140.029297
06/07/2020,9072.849609
13/07/2020,9277.205078
20/07/2020,9187.220703
27/07/2020,9905.217773
03/08/2020,11043.76856
10/08/2020,11662.25684
17/08/2020,11895.6582
24/08/2020,11663.68945
31/08/2020,11713.30664
07/09/2020,10280.99805
14/09/2020,10328.73438
21/09/2020,10934.92578
28/09/2020,10776.61328
05/10/2020,10676.5293
12/10/2020,11392.63574
19/10/2020,11495.03809
26/10/2020,13031.20117
02/11/2020,13737.03223
09/11/2020,15479.5957
16/11/2020,15955.57715
23/11/2020,18370.01758
30/11/2020,18178.32227
07/12/2020,19343.12891
14/12/2020,19144.49219
21/12/2020,23474.45508
28/12/2020,26280.82227
04/01/2021,32810.94922
11/01/2021,38346.53125
18/01/2021,35792.23828
25/01/2021,32285.79883
01/02/2021,33114.57813
08/02/2021,38886.82813
15/02/2021,48696.53516
22/02/2021,57532.73828
01/03/2021,45159.50391
08/03/2021,51174.11719
15/03/2021,59267.42969
22/03/2021,57517.89063
29/03/2021,55947.89844
05/04/2021,58760.875
12/04/2021,60175.94531
19/04/2021,56191.58594
26/04/2021,49077.79297
03/05/2021,56620.27344
10/05/2021,58250.87109
17/05/2021,46415.89844
24/05/2021,34700.36328
31/05/2021,35658.59375
07/06/2021,35835.26563
14/06/2021,39016.96875
21/06/2021,35641.14453
28/06/2021,34679.12109
05/07/2021,35284.34375
12/07/2021,34254.01563
19/07/2021,31800.01172
26/07/2021,35384.03125
02/08/2021,39907.26172
09/08/2021,43791.92578
16/08/2021,47019.96094
23/08/2021,49291.67578
30/08/2021,48834.85156
06/09/2021,51769.00391
13/09/2021,46057.21484
20/09/2021,47261.40625
27/09/2021,43234.18359
04/10/2021,48208.90625
11/10/2021,54734.125
18/10/2021,61548.80469
25/10/2021,60893.92578
01/11/2021,61320.44922
08/11/2021,63344.06641
15/11/2021,65521.28906
22/11/2021,58706.84766
29/11/2021,57291.90625
06/12/2021,49413.48047
13/12/2021,50114.74219
20/12/2021,46707.0625
27/12/2021,50802.60938
03/01/2022,47343.54297
10/01/2022,41910.23047
17/01/2022,43118.12109
24/01/2022,36275.73438
31/01/2022,37920.28125
07/02/2022,42406.78125
14/02/2022,42157.39844
21/02/2022,38423.21094
28/02/2022,37706
07/03/2022,38429.30469
14/03/2022,37846.31641
21/03/2022,41246.13281
28/03/2022,46821.85156
04/04/2022,46445.27344
11/04/2022,42201.03906
18/04/2022,39721.20313
25/04/2022,39472.60547
02/05/2022,38472.1875
09/05/2022,34060.01563
16/05/2022,31304.375
23/05/2022,30309.39648
30/05/2022,29443.36523
06/06/2022,29910.2832
13/06/2022,26737.57813
20/06/2022,20553.37109
27/06/2022,21028.23828
04/07/2022,19297.31445
11/07/2022,20856.35352
18/07/2022,20781.91211
25/07/2022,22607.15625
01/08/2022,23336.71875
08/08/2022,23179.52734
15/08/2022,24318.31641
22/08/2022,21531.46289
29/08/2022,19615.1543
05/09/2022,19988.78906
12/09/2022,21770.14844
19/09/2022,19418.57227
26/09/2022,18803.90039
03/10/2022,19044.06836
10/10/2022,19446.41602
17/10/2022,19268.5625
24/10/2022,19567.76953
31/10/2022,20633.69531
07/11/2022,20924.62109
14/11/2022,16352.02832
21/11/2022,16291.22363
28/11/2022,16440.22266
30/11/2022,16454.93555
