date,GDP
31/03/1955,109967
30/06/1955,110087
30/09/1955,112333
31/12/1955,111731
31/03/1956,112952
30/06/1956,112709
30/09/1956,112601
31/12/1956,113078
31/03/1957,115315
30/06/1957,115292
30/09/1957,114582
31/12/1957,114775
31/03/1958,117141
30/06/1958,114500
30/09/1958,117021
31/12/1958,117156
31/03/1959,117746
30/06/1959,119698
30/09/1959,122217
31/12/1959,125317
31/03/1960,128387
30/06/1960,127435
30/09/1960,129377
31/12/1960,130175
31/03/1961,132264
30/06/1961,132827
30/09/1961,132146
31/12/1961,131915
31/03/1962,132518
30/06/1962,133771
30/09/1962,134583
31/12/1962,134116
31/03/1963,134806
30/06/1963,140603
30/09/1963,141248
31/12/1963,144407
31/03/1964,145283
30/06/1964,147815
30/09/1964,148402
31/12/1964,150629
31/03/1965,150213
30/06/1965,150394
30/09/1965,151631
31/12/1965,152557
31/03/1966,152816
30/06/1966,153708
30/09/1966,154216
31/12/1966,153572
31/03/1967,155661
30/06/1967,157844
30/09/1967,158539
31/12/1967,159385
31/03/1968,165181
30/06/1968,164483
30/09/1968,167735
31/12/1968,168385
31/03/1969,168034
30/06/1969,169272
30/09/1969,170214
31/12/1969,171074
31/03/1970,170015
30/06/1970,173987
30/09/1970,175726
31/12/1970,177242
31/03/1971,176228
30/06/1971,179369
30/09/1971,182465
31/12/1971,183193
31/03/1972,183407
30/06/1972,188291
30/09/1972,188809
31/12/1972,191776
31/03/1973,201278
30/06/1973,201529
30/09/1973,199651
31/12/1973,198789
31/03/1974,193358
30/06/1974,196156
30/09/1974,197427
31/12/1974,194568
31/03/1975,194657
30/06/1975,191458
30/09/1975,190828
31/12/1975,193007
31/03/1976,196078
30/06/1976,195737
30/09/1976,198180
31/12/1976,202361
31/03/1977,202475
30/06/1977,200982
30/09/1977,202386
31/12/1977,205871
31/03/1978,207654
30/06/1978,210180
30/09/1978,213020
31/12/1978,214967
31/03/1979,214129
30/06/1979,223624
30/09/1979,218709
31/12/1979,221005
31/03/1980,218845
30/06/1980,214529
30/09/1980,214280
31/12/1980,212020
31/03/1981,211669
30/06/1981,212172
30/09/1981,214478
31/12/1981,214727
31/03/1982,215081
30/06/1982,217489
30/09/1982,218046
31/12/1982,219581
31/03/1983,223565
30/06/1983,225476
30/09/1983,227962
31/12/1983,229933
31/03/1984,231514
30/06/1984,229498
30/09/1984,230991
31/12/1984,235577
31/03/1985,237562
30/06/1985,242628
30/09/1985,242856
31/12/1985,243449
31/03/1986,246180
30/06/1986,247976
30/09/1986,249074
31/12/1986,253461
31/03/1987,255733
30/06/1987,259432
30/09/1987,265702
31/12/1987,268714
31/03/1988,273543
30/06/1988,275178
30/09/1988,279388
31/12/1988,281798
31/03/1989,283023
30/06/1989,284866
30/09/1989,285139
31/12/1989,285397
31/03/1990,287318
30/06/1990,288796
30/09/1990,285798
31/12/1990,284844
31/03/1991,284042
30/06/1991,283698
30/09/1991,283051
31/12/1991,283505
31/03/1992,283489
30/06/1992,283140
30/09/1992,284952
31/12/1992,286957
31/03/1993,289057
30/06/1993,290527
30/09/1993,292864
31/12/1993,294860
31/03/1994,298406
30/06/1994,301869
30/09/1994,305295
31/12/1994,307030
31/03/1995,308059
30/06/1995,309171
30/09/1995,312212
31/12/1995,313106
31/03/1996,315951
30/06/1996,316947
30/09/1996,319095
31/12/1996,322100
31/03/1997,326757
30/06/1997,330259
30/09/1997,332227
31/12/1997,336300
31/03/1998,338161
30/06/1998,340143
30/09/1998,342631
31/12/1998,346201
31/03/1999,348284
30/06/1999,348526
30/09/1999,354641
31/12/1999,359661
31/03/2000,363014
30/06/2000,365623
30/09/2000,366706
31/12/2000,367475
31/03/2001,371191
30/06/2001,374262
30/09/2001,376671
31/12/2001,377910
31/03/2002,379733
30/06/2002,382456
30/09/2002,385535
31/12/2002,389179
31/03/2003,391597
30/06/2003,395145
30/09/2003,399086
31/12/2003,402191
31/03/2004,404275
30/06/2004,405981
30/09/2004,406917
31/12/2004,408394
31/03/2005,411853
30/06/2005,416359
30/09/2005,420756
31/12/2005,426928
31/03/2006,428052
30/06/2006,428919
30/09/2006,429259
31/12/2006,430825
31/03/2007,434711
30/06/2007,437823
30/09/2007,440722
31/12/2007,444265
31/03/2008,445474
30/06/2008,442462
30/09/2008,435378
31/12/2008,425902
31/03/2009,419095
30/06/2009,418151
30/09/2009,418800
31/12/2009,419917
31/03/2010,422176
30/06/2010,425975
30/09/2010,427952
31/12/2010,428261
31/03/2011,430775
30/06/2011,431413
30/09/2011,433055
31/12/2011,433878
31/03/2012,436683
30/06/2012,436217
30/09/2012,441238
31/12/2012,440598
31/03/2013,443411
30/06/2013,445808
30/09/2013,449599
31/12/2013,451932
31/03/2014,455814
30/06/2014,459702
30/09/2014,463201
31/12/2014,466727
31/03/2015,468326
30/06/2015,471018
30/09/2015,472980
31/12/2015,476413
31/03/2016,477421
30/06/2016,479693
30/09/2016,482288
31/12/2016,485897
31/03/2017,487333
30/06/2017,488817
30/09/2017,490704
